workload,workload_class,comm_volume_gb,latency_sensitivity,network_config,available_bandwidth_gbps,network_congestion,network_grade,measured_latency_ms,throughput_gbps,run
ResNet-50,compute,0.5,low,200Gbps-uncongested,200,0.0,0,2.502040301881254,197.78777118126106,0
ResNet-50,compute,0.5,low,200Gbps-uncongested,200,0.0,0,2.52046979224862,224.36847770252842,1
ResNet-50,compute,0.5,low,200Gbps-uncongested,200,0.0,0,2.4128230743745926,196.2538086888131,2
ResNet-50,compute,0.5,low,200Gbps-uncongested,200,0.0,0,2.634181251892992,212.27895566644654,3
ResNet-50,compute,0.5,low,200Gbps-uncongested,200,0.0,0,2.384097364998175,208.68096069737544,4
ResNet-50,compute,0.5,low,200Gbps-light,200,0.2,0,2.766410580607611,154.03865915430072,0
ResNet-50,compute,0.5,low,200Gbps-light,200,0.2,0,2.8662934857198006,135.5100128683802,1
ResNet-50,compute,0.5,low,200Gbps-light,200,0.2,0,2.5877801897320416,152.80271962571555,2
ResNet-50,compute,0.5,low,200Gbps-light,200,0.2,0,2.6886127808120204,164.0223658572195,3
ResNet-50,compute,0.5,low,200Gbps-light,200,0.2,0,2.703453622118579,141.92251262290827,4
ResNet-50,compute,0.5,low,200Gbps-moderate,200,0.4,0,3.458820358273493,117.83254751532925,0
ResNet-50,compute,0.5,low,200Gbps-moderate,200,0.4,0,3.233537259544441,106.32241741235082,1
ResNet-50,compute,0.5,low,200Gbps-moderate,200,0.4,0,3.1349383305208445,121.06485686121472,2
ResNet-50,compute,0.5,low,200Gbps-moderate,200,0.4,0,3.0371934177005078,123.60670097611845,3
ResNet-50,compute,0.5,low,200Gbps-moderate,200,0.4,0,3.1258736485970675,117.19974000198454,4
ResNet-50,compute,0.5,low,200Gbps-heavy,200,0.6,0,3.504574489001525,91.8545803808572,0
ResNet-50,compute,0.5,low,200Gbps-heavy,200,0.6,0,3.6108427865463693,73.23065005468224,1
ResNet-50,compute,0.5,low,200Gbps-heavy,200,0.6,0,3.7618855554092674,72.18660064018546,2
ResNet-50,compute,0.5,low,200Gbps-heavy,200,0.6,0,3.651015395581914,67.45811120716944,3
ResNet-50,compute,0.5,low,200Gbps-heavy,200,0.6,0,3.373325762650186,81.25991190956239,4
ResNet-50,compute,0.5,low,100Gbps-moderate,100,0.4,0,6.683294893943834,60.82256774971186,0
ResNet-50,compute,0.5,low,100Gbps-moderate,100,0.4,0,6.408043033995977,58.554702261171414,1
ResNet-50,compute,0.5,low,100Gbps-moderate,100,0.4,0,5.9688356866979975,56.5447477997054,2
ResNet-50,compute,0.5,low,100Gbps-moderate,100,0.4,0,6.296864458577413,65.07418668585079,3
ResNet-50,compute,0.5,low,100Gbps-moderate,100,0.4,0,6.556048862849212,51.53740725425887,4
ResNet-50,compute,0.5,low,InfiniBand-200Gbps,200,0.15,0,2.7786833551906955,164.76288098633808,0
ResNet-50,compute,0.5,low,InfiniBand-200Gbps,200,0.15,0,2.64182707027067,178.3187975282358,1
ResNet-50,compute,0.5,low,InfiniBand-200Gbps,200,0.15,0,2.8753319659662435,182.6654096199803,2
ResNet-50,compute,0.5,low,InfiniBand-200Gbps,200,0.15,0,2.619638229246905,165.7947116884235,3
